,Common.name,Scientific.name,IUCN.status,Number of records
112,Scaly-breasted munia,Lonchura punctulata,Least Concern,32
113,Shikra,Accipiter badius,Least Concern,2
114,Short-eared owl,Asio flammeus,Least Concern,1
115,Short-toed lark,Calandrella brachydactyla,Least Concern,879
116,Short-toed snake eagle,Circaetus gallicus,Least Concern,3
117,Siberian stonechat,Saxicola maurus,Least Concern,160
118,Small minivet,Pericrocotus cinnamomeus,Least Concern,11
119,Spot billed duck,Anas poecilorhyncha,Least Concern,17
120,Spot breasted fantail,Rhipidura albogularis,Least Concern,4
121,Spotted dove,Streptopelia chinensis,Least Concern,2
122,Spotted redshank,Tringa erythropus,Near Threatened,1
123,Steppe Eagle,Aquila nipalensis,Endangered,23
124,Streak throated swallow,Petrochelidon fluvicola,Least Concern,2
125,Striolated bunting,Emberiza striolata,Least Concern,1
126,Syke's lark,Galerida deva,Vulnerable,48
127,Syke's warbler,Iduna rama,Least Concern,3
128,Tailor bird,Orthotomus sutorius,Least Concern,1
129,Tawny eagle,Aquila rapax,Vulnerable,4
130,Tawny pipit,Anthus campestris,Least Concern,60
131,Tree pipit,Anthus trivialis,Least Concern,11
132,White bellied minivet,Pericrocotus erythropygius,Least Concern,1
133,White-browed wagtail,Motacilla maderaspatensis,Least Concern,1
134,White eyed buzzard,Butastur teesa,Least Concern,1
135,White-throated kingfisher,Halcyon smyrnensis,Least Concern,27
136,Whitethroat,Sylvia communis,Least Concern,22
137,Wire tailed swallow,Hirundo smithii,Least Concern,101
138,Wooly necked stork,Ciconia episcopus,Least Concern,3
139,Yellow crowned woodpecker,Leiopicus mahrattensis,Least Concern,1
140,Yellow-eyed babbler,Chrysomma sinense,Least Concern,17
141,Yellow throated sparrow,Gymnoris xanthocollis,Least Concern,2
142,Yellow wagtail,Motacilla flava,Least Concern,43
143,Yellow-wattled lapwing,Vanellus malabaricus,Near Threatened,35
144,Zitting cisticola,Cisticola juncidis,Least Concern,19
