"","grid_id","abundance","sub_richness"
"268","G66.8",22,8
"269","G66.9",8,5
"270","G67.1",21,12
"271","G67.2",30,12
"272","G67.3",83,18
"273","G67.4",73,10
"274","G67.5",20,9
"275","G67.6",61,9
"276","G67.7",18,8
"277","G67.8",24,10
"278","G67.9",10,8
"279","G7.1",12,7
"280","G7.2",11,8
"281","G7.3",5,4
"282","G7.4",15,10
"283","G7.5",5,3
"284","G7.6",7,6
"285","G7.7",2,2
"286","G7.8",11,7
"287","G7.9",5,4
"288","G71.1",5,4
"289","G71.2",13,6
"290","G71.3",6,3
"291","G71.4",9,4
"292","G71.5",28,6
"293","G71.6",4,3
"294","G72.1",12,5
"295","G72.2",9,7
"296","G72.3",13,6
"297","G72.4",9,6
"298","G72.5",8,7
"299","G72.6",13,3
"300","G79.2",9,5
"301","G79.3",6,6
"302","G79.4",13,7
"303","G79.5",6,3
"304","G79.6",9,4
"305","G79.7",20,8
"306","G79.8",5,3
"307","G80.1",24,6
"308","G80.2",39,6
"309","G80.3",12,3
"310","G80.4",7,5
"311","G80.5",9,6
"312","G80.6",9,6
"313","G80.7",7,4
"314","G80.8",7,2
"315","G80A.1",22,3
"316","G80A.2",17,5
"317","G80A.3",19,10
"318","G87.1",21,4
"319","G87.2",8,3
"320","G87.3",3,3
"321","G87.5",7,4
"322","G87.6",7,3
"323","G87.7",9,4
"324","G92.1",1,1
"325","G92.2",6,3
"326","G92.3",1,1
"327","G92.4",7,4
"328","G92.5",1,1
"329","G92.6",1,1
"330","G92.7",3,2
"331","G92.8",10,6
"332","G92.9",5,2
"333","G96.1",1,1
"334","G96.2",5,3
"335","G96.3",14,4
"336","G96.4",12,4
"337","G96.5",7,5
"338","G97.1",18,9
"339","G97.2",15,6
"340","G97.3",6,5
"341","G97.4",5,3
"342","GN.10",9,6
"343","GN.2",4,4
"344","GN.3",13,9
"345","GN.4",50,8
"346","GN.5",14,7
"347","GN.6",11,6
"348","GN.7",12,4
"349","GN.8",8,7
"350","GN.9",10,6
"351","GN2.1",14,5
"352","GN2.2",10,7
"353","GN2.3",12,7
"354","GN2.4",24,9
"355","GN2.5",12,7
"356","GN2.6",18,9
"357","GN2.7",9,6
"358","GN2.8",34,6
"359","GNEW.1",9,4
"360","YU.1",11,5
"361","YU.2",6,3
"362","YU.3",8,3
"363","YU.4",9,4
"364","YU.5",7,5
"365","YU.6",20,7
"366","YU.7",46,11
"367","YU.8",8,4
